feature	beta_original	beta_scaled	impute_median	scaler_mean	scaler_scale
__intercept__	-2.3561358836937965	-0.49294972365730894			
age	0.034478141025526335	0.7100833058369797	47.0	48.17536282830312	20.595173774341845
sex	0.1390443740559515	0.06647050260124028	0.0	0.3534876713704615	0.4780524422692034
arrems	0.6636897068830251	0.30245566248161737	0.0	0.2942801185155426	0.4557184770908689
immedr	-0.7863408288280238	-0.3968077747473351	3.0	2.7562396424446343	0.5046256790948327
temp_f	0.05221300792522966	0.0519478889102029	98.0	98.065146888967	0.9949223569841749
pulse	0.012634403166081989	0.2273792553444475	87.0	87.92125746999447	17.996833910988713
resp	0.0022999415333406926	0.004461850229533437	18.0	17.48430673429418	1.9399841973602463
sbp	-0.002936102730915125	-0.06455933678666541	130.0	132.22158388992116	21.98810556146431
dbp	-0.0008126688586649719	-0.011849560274330543	77.0	77.18164013458545	14.581043863052223
spo2	-0.040229478492158834	-0.06961445147503957	99.0	98.72440114498066	1.7304338530912895
pain	0.044008460100861554	0.15886669615430737	5.0	4.486089489278361	3.60991263475718
month	0.0008423952059884826	0.0028929716415328622	6.0	6.511826445035906	3.4342213974712665
day_of_week	0.010187940204118302	0.020430358959767875	3.0	2.9695174006930145	2.0053473568199047
arr_hour_sin	-0.1879590379717219	-0.1222266431829578	-0.32556815445715676	-0.20415154637155214	0.65028340484136
arr_hour_cos	-0.02658557082424486	-0.018856599410449426	-0.35836794954530027	-0.17993410513810632	0.7092794634769717
