dataset_id	name	role	source_url_or_citation	version_or_date	license_or_terms	local_path	checksum_sha256	file_size_bytes	notes
NHAMCS_ED_2016	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2016-stata.zip	2016	public-use	data/raw/nhamcs/2016/	fa847d6c4e1bf3cd23a633b0b362f258d3be62a3710e1b51d925eb4a9e4672b5	47197725	Checksum/size refer to extracted `ED2016-stata.dta`.
NHAMCS_ED_2017	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2017-stata.zip	2017	public-use	data/raw/nhamcs/2017/	9124ecea543cd29d87e2c5cbfc88835d0c79d21239010f4605a5fd88181a72da	40954556	Checksum/size refer to extracted `ED2017-stata.dta`.
NHAMCS_ED_2018	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2018-stata.zip	2018	public-use	data/raw/nhamcs/2018/	dcdfe637e97c21fc9430b52cd4dbbaa401079cb549d8cc1fc79e58c1bba0ab48	48838150	Checksum/size refer to extracted `ED2018-stata.dta`.
NHAMCS_ED_2019	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2019-stata.zip	2019	public-use	data/raw/nhamcs/2019/	c19c522b0797432b9027dd5157fd48352065471dd12714d74bff093ae7455ee4	45754034	Validated via scripts/smoke_test_nhamcs_2019.py; cohort N=806 adults; admission rate ~10.9%
NHAMCS_ED_2020	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2020-stata.zip	2020	public-use	data/raw/nhamcs/2020/	40dc57cecd57614001b26225e7a591a599b339194e9374dc5d7df3bdee937fa1	35000176	Checksum/size refer to extracted `ED2020-stata.dta`.
NHAMCS_ED_2021	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2021-stata.zip	2021	public-use	data/raw/nhamcs/2021/	c1438773d451c78652bf371fc369da5281aa2c82eb5983cccc2646b66d218038	38145508	Checksum/size refer to extracted `ED2021-stata.dta`.
NHAMCS_ED_2022	NHAMCS Emergency Department public-use microdata	external_validation	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/dataset_documentation/nhamcs/stata/ED2022-stata.zip	2022	public-use	data/raw/nhamcs/2022/	0e00cd5aea4511cd619f7af1e0dc2f6825f111b7c87d3ebbb1358410a4c881c2	37720094	Checksum/size refer to extracted `ED2022-stata.dta`.
MIMIC_IV_ED_TBD	MIMIC-IV-ED	development	PhysioNet (account+training+click-through license)	TBD	PhysioNet credentialed access	data/raw/mimic-iv-ed/	TBD	TBD	Fill after access is confirmed; must pass data-access smoke test
