ref_n	doi	doi_url	registry_verified	crossref_status	crossref_found	datacite_status	datacite_found	title	publisher	year	checked_at_utc	crossref_api_url	datacite_api_url	notes
35	10.1148/radiology.143.1.7063747	https://doi.org/10.1148/radiology.143.1.7063747	Crossref	cached	1		0	The meaning and use of the area under a receiver operating characteristic (ROC) curve.	Radiological Society of North America (RSNA)	1982	2026-03-02T06:08:45+00:00	https://api.crossref.org/works/10.1148%2Fradiology.143.1.7063747	https://api.datacite.org/dois/10.1148%2Fradiology.143.1.7063747	
36	10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2	https://doi.org/10.1175/1520-0493%281950%29078%3C0001%3AVOFEIT%3E2.0.CO%3B2	Crossref	cached	1		0	VERIFICATION OF FORECASTS EXPRESSED IN TERMS OF PROBABILITY	American Meteorological Society	1950	2026-03-02T06:08:45+00:00	https://api.crossref.org/works/10.1175%2F1520-0493%281950%29078%3C0001%3AVOFEIT%3E2.0.CO%3B2	https://api.datacite.org/dois/10.1175%2F1520-0493%281950%29078%3C0001%3AVOFEIT%3E2.0.CO%3B2	
37	10.1214/aos/1176344552	https://doi.org/10.1214/aos/1176344552	Crossref	cached	1		0	Bootstrap Methods: Another Look at the Jackknife	Institute of Mathematical Statistics	1979	2026-03-02T06:08:46+00:00	https://api.crossref.org/works/10.1214%2Faos%2F1176344552	https://api.datacite.org/dois/10.1214%2Faos%2F1176344552	
38	10.1007/978-1-4899-4541-9	https://doi.org/10.1007/978-1-4899-4541-9	Crossref	cached	1		0	An Introduction to the Bootstrap	Springer US	1993	2026-03-02T06:08:46+00:00	https://api.crossref.org/works/10.1007%2F978-1-4899-4541-9	https://api.datacite.org/dois/10.1007%2F978-1-4899-4541-9	
39	10.1002/sim.6114	https://doi.org/10.1002/sim.6114	Crossref	cached	1		0	Assessing calibration of multinomial risk prediction models	Wiley	2014	2026-03-02T06:08:46+00:00	https://api.crossref.org/works/10.1002%2Fsim.6114	https://api.datacite.org/dois/10.1002%2Fsim.6114	
40	10.1097/CCM.0000000000005758	https://doi.org/10.1097/CCM.0000000000005758	Crossref	cached	1		0	Predicting Readmission or Death After Discharge From the ICU: External Validation and Retraining of a Machine Learning Model	Ovid Technologies (Wolters Kluwer Health)	2022	2026-03-02T06:08:46+00:00	https://api.crossref.org/works/10.1097%2FCCM.0000000000005758	https://api.datacite.org/dois/10.1097%2FCCM.0000000000005758	
41	10.1161/CIRCOUTCOMES.114.001645	https://doi.org/10.1161/CIRCOUTCOMES.114.001645	Crossref	cached	1		0	Improved Prediction by Dynamic Modeling	Ovid Technologies (Wolters Kluwer Health)	2016	2026-03-02T06:08:47+00:00	https://api.crossref.org/works/10.1161%2FCIRCOUTCOMES.114.001645	https://api.datacite.org/dois/10.1161%2FCIRCOUTCOMES.114.001645	
42	10.1186/s12874-022-01801-8	https://doi.org/10.1186/s12874-022-01801-8	Crossref	cached	1		0	Methodological guidance for the evaluation and updating of clinical prediction models: a systematic review	Springer Science and Business Media LLC	2022	2026-03-02T06:08:47+00:00	https://api.crossref.org/works/10.1186%2Fs12874-022-01801-8	https://api.datacite.org/dois/10.1186%2Fs12874-022-01801-8	
43	10.1016/j.lanepe.2024.101163	https://doi.org/10.1016/j.lanepe.2024.101163	Crossref	cached	1		0	Development and validation of artificial intelligence models for early detection of postoperative infections (PERISCOPE): a multicentre study using electronic health record data	Elsevier BV	2025	2026-03-02T06:08:47+00:00	https://api.crossref.org/works/10.1016%2Fj.lanepe.2024.101163	https://api.datacite.org/dois/10.1016%2Fj.lanepe.2024.101163	
44	10.1016/j.jclinepi.2023.07.019	https://doi.org/10.1016/j.jclinepi.2023.07.019	Crossref	cached	1		0	Systematic review finds risk of bias and applicability concerns for models predicting central line-associated bloodstream infection	Elsevier BV	2023	2026-03-02T06:08:47+00:00	https://api.crossref.org/works/10.1016%2Fj.jclinepi.2023.07.019	https://api.datacite.org/dois/10.1016%2Fj.jclinepi.2023.07.019	
45	10.1212/WNL.0000000000214347	https://doi.org/10.1212/WNL.0000000000214347	Crossref	cached	1		0	Trends in Head CT Use in US Emergency Department Patients From 2007 to 2022	Ovid Technologies (Wolters Kluwer Health)	2025	2026-03-02T06:08:48+00:00	https://api.crossref.org/works/10.1212%2FWNL.0000000000214347	https://api.datacite.org/dois/10.1212%2FWNL.0000000000214347	
46	10.1016/j.ajem.2022.02.043	https://doi.org/10.1016/j.ajem.2022.02.043	Crossref	cached	1		0	Racial disparities in opioid administration and prescribing in the emergency department for pain	Elsevier BV	2022	2026-03-02T06:08:48+00:00	https://api.crossref.org/works/10.1016%2Fj.ajem.2022.02.043	https://api.datacite.org/dois/10.1016%2Fj.ajem.2022.02.043	
47	10.1093/infdis/jiad437	https://doi.org/10.1093/infdis/jiad437	Crossref	cached	1		0	Trends for Syndromic Surveillance of Norovirus in Emergency Department Data Based on Chief Complaints	Oxford University Press (OUP)	2023	2026-03-02T06:08:48+00:00	https://api.crossref.org/works/10.1093%2Finfdis%2Fjiad437	https://api.datacite.org/dois/10.1093%2Finfdis%2Fjiad437	
48	10.1093/jamia/ocx084	https://doi.org/10.1093/jamia/ocx084	Crossref	cached	1		0	The MIMIC Code Repository: enabling reproducibility in critical care research	Oxford University Press (OUP)	2017	2026-03-02T06:08:48+00:00	https://api.crossref.org/works/10.1093%2Fjamia%2Focx084	https://api.datacite.org/dois/10.1093%2Fjamia%2Focx084	
49	10.1007/978-3-030-16399-0	https://doi.org/10.1007/978-3-030-16399-0	Crossref	cached	1		0	Clinical Prediction Models	Springer International Publishing	2019	2026-03-02T06:08:49+00:00	https://api.crossref.org/works/10.1007%2F978-3-030-16399-0	https://api.datacite.org/dois/10.1007%2F978-3-030-16399-0	
50	10.1007/978-3-319-19425-7	https://doi.org/10.1007/978-3-319-19425-7	Crossref	cached	1		0	Regression Modeling Strategies	Springer International Publishing	2015	2026-03-02T06:08:49+00:00	https://api.crossref.org/works/10.1007%2F978-3-319-19425-7	https://api.datacite.org/dois/10.1007%2F978-3-319-19425-7	
