ref_n	doi	doi_url	registry_verified	crossref_status	crossref_found	datacite_status	datacite_found	title	publisher	year	checked_at_utc	crossref_api_url	datacite_api_url	notes
1	10.1093/cid/cix959	https://doi.org/10.1093/cid/cix959	Crossref	cached	1		0	2017 Infectious Diseases Society of America Clinical Practice Guidelines for the Diagnosis and Management of Infectious Diarrhea	Oxford University Press (OUP)	2017	2026-03-02T06:08:36+00:00	https://api.crossref.org/works/10.1093%2Fcid%2Fcix959	https://api.datacite.org/dois/10.1093%2Fcid%2Fcix959	
2	10.1038/ajg.2016.126	https://doi.org/10.1038/ajg.2016.126	Crossref	cached	1		0	ACG Clinical Guideline: Diagnosis, Treatment, and Prevention of Acute Diarrheal Infections in Adults	Ovid Technologies (Wolters Kluwer Health)	2016	2026-03-02T06:08:37+00:00	https://api.crossref.org/works/10.1038%2Fajg.2016.126	https://api.datacite.org/dois/10.1038%2Fajg.2016.126	
3	10.14309/ajg.0000000000002186	https://doi.org/10.14309/ajg.0000000000002186	Crossref	cached	1		0	Epidemiology and Economic Burden of Acute Infectious Gastroenteritis Among Adults Treated in Outpatient Settings in US Health Systems	Ovid Technologies (Wolters Kluwer Health)	2023	2026-03-02T06:08:37+00:00	https://api.crossref.org/works/10.14309%2Fajg.0000000000002186	https://api.datacite.org/dois/10.14309%2Fajg.0000000000002186	
4	10.1001/jamanetworkopen.2025.36600	https://doi.org/10.1001/jamanetworkopen.2025.36600	Crossref	cached	1		0	Health Care Costs Associated With Norovirus at the Veterans Health Administration	American Medical Association (AMA)	2025	2026-03-02T06:08:37+00:00	https://api.crossref.org/works/10.1001%2Fjamanetworkopen.2025.36600	https://api.datacite.org/dois/10.1001%2Fjamanetworkopen.2025.36600	
5	10.1001/jama.2016.0287	https://doi.org/10.1001/jama.2016.0287	Crossref	cached	1		0	The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3)	American Medical Association (AMA)	2016	2026-03-02T06:08:37+00:00	https://api.crossref.org/works/10.1001%2Fjama.2016.0287	https://api.datacite.org/dois/10.1001%2Fjama.2016.0287	
6	10.1001/jama.2016.20329	https://doi.org/10.1001/jama.2016.20329	Crossref	cached	1		0	Prognostic Accuracy of Sepsis-3 Criteria for In-Hospital Mortality Among Patients With Suspected Infection Presenting to the Emergency Department	American Medical Association (AMA)	2017	2026-03-02T06:08:38+00:00	https://api.crossref.org/works/10.1001%2Fjama.2016.20329	https://api.datacite.org/dois/10.1001%2Fjama.2016.20329	
7	10.7717/peerj.6947	https://doi.org/10.7717/peerj.6947	Crossref	cached	1		0	Comparison of the National Early Warning Score (NEWS) and the Modified Early Warning Score (MEWS) for predicting admission and in-hospital mortality in elderly patients in the pre-hospital setting and in the emergency department	PeerJ	2019	2026-03-02T06:08:38+00:00	https://api.crossref.org/works/10.7717%2Fpeerj.6947	https://api.datacite.org/dois/10.7717%2Fpeerj.6947	
8	10.1111/j.1553-2712.2000.tb01066.x	https://doi.org/10.1111/j.1553-2712.2000.tb01066.x	Crossref	cached	1		0	Reliability and Validity of a New Five‐level Triage Instrument	Wiley	2000	2026-03-02T06:08:38+00:00	https://api.crossref.org/works/10.1111%2Fj.1553-2712.2000.tb01066.x	https://api.datacite.org/dois/10.1111%2Fj.1553-2712.2000.tb01066.x	
9	10.1177/20552076251411209	https://doi.org/10.1177/20552076251411209	Crossref	cached	1		0	Implementation of machine learning in emergency departments: A systematic review	SAGE Publications	2026	2026-03-02T06:08:38+00:00	https://api.crossref.org/works/10.1177%2F20552076251411209	https://api.datacite.org/dois/10.1177%2F20552076251411209	
10	10.1186/s12916-014-0241-z	https://doi.org/10.1186/s12916-014-0241-z	Crossref	cached	1		0	Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis (TRIPOD): the TRIPOD Statement	Springer Science and Business Media LLC	2015	2026-03-02T06:08:39+00:00	https://api.crossref.org/works/10.1186%2Fs12916-014-0241-z	https://api.datacite.org/dois/10.1186%2Fs12916-014-0241-z	
11	10.7326/M14-0698	https://doi.org/10.7326/M14-0698	Crossref	cached	1		0	Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD): Explanation and Elaboration	American College of Physicians	2015	2026-03-02T06:08:39+00:00	https://api.crossref.org/works/10.7326%2FM14-0698	https://api.datacite.org/dois/10.7326%2FM14-0698	
12	10.1136/bmj-2023-078378	https://doi.org/10.1136/bmj-2023-078378	Crossref	cached	1		0	TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods	BMJ	2024	2026-03-02T06:08:39+00:00	https://api.crossref.org/works/10.1136%2Fbmj-2023-078378	https://api.datacite.org/dois/10.1136%2Fbmj-2023-078378	
13	10.7326/M18-1376	https://doi.org/10.7326/M18-1376	Crossref	cached	1		0	PROBAST: A Tool to Assess the Risk of Bias and Applicability of Prediction Model Studies	American College of Physicians	2019	2026-03-02T06:08:39+00:00	https://api.crossref.org/works/10.7326%2FM18-1376	https://api.datacite.org/dois/10.7326%2FM18-1376	
14	10.7326/M18-1377	https://doi.org/10.7326/M18-1377	Crossref	cached	1		0	PROBAST: A Tool to Assess Risk of Bias and Applicability of Prediction Model Studies: Explanation and Elaboration	American College of Physicians	2019	2026-03-02T06:08:40+00:00	https://api.crossref.org/works/10.7326%2FM18-1377	https://api.datacite.org/dois/10.7326%2FM18-1377	
15	10.1136/bmj.i6460	https://doi.org/10.1136/bmj.i6460	Crossref	cached	1		0	A guide to systematic review and meta-analysis of prediction model performance	BMJ	2017	2026-03-02T06:08:40+00:00	https://api.crossref.org/works/10.1136%2Fbmj.i6460	https://api.datacite.org/dois/10.1136%2Fbmj.i6460	
16	10.1097/EDE.0b013e3181c30fb2	https://doi.org/10.1097/EDE.0b013e3181c30fb2	Crossref	cached	1		0	Assessing the Performance of Prediction Models	Ovid Technologies (Wolters Kluwer Health)	2010	2026-03-02T06:08:40+00:00	https://api.crossref.org/works/10.1097%2FEDE.0b013e3181c30fb2	https://api.datacite.org/dois/10.1097%2FEDE.0b013e3181c30fb2	
17	10.1186/s12916-019-1466-7	https://doi.org/10.1186/s12916-019-1466-7	Crossref	cached	1		0	Calibration: the Achilles heel of predictive analytics	Springer Science and Business Media LLC	2019	2026-03-02T06:08:40+00:00	https://api.crossref.org/works/10.1186%2Fs12916-019-1466-7	https://api.datacite.org/dois/10.1186%2Fs12916-019-1466-7	
18	10.1177/0272989X06295361	https://doi.org/10.1177/0272989X06295361	Crossref	cached	1		0	Decision Curve Analysis: A Novel Method for Evaluating Prediction Models	SAGE Publications	2006	2026-03-02T06:08:41+00:00	https://api.crossref.org/works/10.1177%2F0272989X06295361	https://api.datacite.org/dois/10.1177%2F0272989X06295361	
19	10.1038/s41597-022-01899-x	https://doi.org/10.1038/s41597-022-01899-x	Crossref	cached	1		0	MIMIC-IV, a freely accessible electronic health record dataset	Springer Science and Business Media LLC	2023	2026-03-02T06:08:41+00:00	https://api.crossref.org/works/10.1038%2Fs41597-022-01899-x	https://api.datacite.org/dois/10.1038%2Fs41597-022-01899-x	
20	10.13026/kpb9-mt58	https://doi.org/10.13026/kpb9-mt58	DataCite	cached	0	cached	1	MIMIC-IV	PhysioNet	2024	2026-03-02T06:08:41+00:00	https://api.crossref.org/works/10.13026%2Fkpb9-mt58	https://api.datacite.org/dois/10.13026%2Fkpb9-mt58	NOT_FOUND_IN_CROSSREF_FALLBACK_DATACITE
21	10.13026/5ntk-km72	https://doi.org/10.13026/5ntk-km72	DataCite	cached	0	cached	1	MIMIC-IV-ED	PhysioNet	2023	2026-03-02T06:08:41+00:00	https://api.crossref.org/works/10.13026%2F5ntk-km72	https://api.datacite.org/dois/10.13026%2F5ntk-km72	NOT_FOUND_IN_CROSSREF_FALLBACK_DATACITE
22	10.15620/cdc:121911	https://doi.org/10.15620/cdc%3A121911	Crossref	cached	1		0	National Hospital Ambulatory Medical Care Survey: 2020 Emergency Department Summary Tables	National Center for Health Statistics (U.S.)	2022	2026-03-02T06:08:42+00:00	https://api.crossref.org/works/10.15620%2Fcdc%3A121911	https://api.datacite.org/dois/10.15620%2Fcdc%3A121911	
23	10.1111/j.1467-9868.2005.00503.x	https://doi.org/10.1111/j.1467-9868.2005.00503.x	Crossref	cached	1		0	Regularization and Variable Selection Via the Elastic Net	Oxford University Press (OUP)	2005	2026-03-02T06:08:42+00:00	https://api.crossref.org/works/10.1111%2Fj.1467-9868.2005.00503.x	https://api.datacite.org/dois/10.1111%2Fj.1467-9868.2005.00503.x	
24	10.18637/jss.v033.i01	https://doi.org/10.18637/jss.v033.i01	Crossref	cached	1		0	Regularization Paths for Generalized Linear Models via Coordinate Descent	Foundation for Open Access Statistic	2010	2026-03-02T06:08:42+00:00	https://api.crossref.org/works/10.18637%2Fjss.v033.i01	https://api.datacite.org/dois/10.18637%2Fjss.v033.i01	
25	10.1145/2786984.2786995	https://doi.org/10.1145/2786984.2786995	Crossref	cached	1		0	Scikit-learn	Association for Computing Machinery (ACM)	2015	2026-03-02T06:08:42+00:00	https://api.crossref.org/works/10.1145%2F2786984.2786995	https://api.datacite.org/dois/10.1145%2F2786984.2786995	
26	10.1002/sim.7993	https://doi.org/10.1002/sim.7993	Crossref	cached	1		0	Minimum sample size for developing a multivariable prediction model: Part I – Continuous outcomes	Wiley	2018	2026-03-02T06:08:43+00:00	https://api.crossref.org/works/10.1002%2Fsim.7993	https://api.datacite.org/dois/10.1002%2Fsim.7993	
27	10.1002/sim.7992	https://doi.org/10.1002/sim.7992	Crossref	cached	1		0	Minimum sample size for developing a multivariable prediction model: PART II ‐ binary and time‐to‐event outcomes	Wiley	2018	2026-03-02T06:08:43+00:00	https://api.crossref.org/works/10.1002%2Fsim.7992	https://api.datacite.org/dois/10.1002%2Fsim.7992	
28	10.1002/sim.8806	https://doi.org/10.1002/sim.8806	Crossref	cached	1		0	A note on estimating the <scp>Cox‐Snell <i>R</i><sup>2</sup></scp> from a reported <i>C</i> statistic (<scp>AUROC</scp>) to inform sample size calculations for developing a prediction model with a binary outcome	Wiley	2020	2026-03-02T06:08:43+00:00	https://api.crossref.org/works/10.1002%2Fsim.8806	https://api.datacite.org/dois/10.1002%2Fsim.8806	
29	10.1186/s12874-022-01577-x	https://doi.org/10.1186/s12874-022-01577-x	Crossref	cached	1		0	Methodological conduct of prognostic prediction models developed using machine learning in oncology: a systematic review	Springer Science and Business Media LLC	2022	2026-03-02T06:08:44+00:00	https://api.crossref.org/works/10.1186%2Fs12874-022-01577-x	https://api.datacite.org/dois/10.1186%2Fs12874-022-01577-x	
30	10.1136/bmj.m1328	https://doi.org/10.1136/bmj.m1328	Crossref	cached	1		0	Prediction models for diagnosis and prognosis of covid-19: systematic review and critical appraisal	BMJ	2020	2026-03-02T06:08:44+00:00	https://api.crossref.org/works/10.1136%2Fbmj.m1328	https://api.datacite.org/dois/10.1136%2Fbmj.m1328	
31	10.1016/j.jclinepi.2019.11.001	https://doi.org/10.1016/j.jclinepi.2019.11.001	Crossref	cached	1		0	Changing predictor measurement procedures affected the performance of prediction models in clinical examples	Elsevier BV	2020	2026-03-02T06:08:44+00:00	https://api.crossref.org/works/10.1016%2Fj.jclinepi.2019.11.001	https://api.datacite.org/dois/10.1016%2Fj.jclinepi.2019.11.001	
32	10.1002/bimj.201400004	https://doi.org/10.1002/bimj.201400004	Crossref	cached	1		0	The estimation and use of predictions for the assessment of model performance using large samples with multiply imputed data	Wiley	2015	2026-03-02T06:08:44+00:00	https://api.crossref.org/works/10.1002%2Fbimj.201400004	https://api.datacite.org/dois/10.1002%2Fbimj.201400004	
33	10.1186/1471-2288-14-75	https://doi.org/10.1186/1471-2288-14-75	Crossref	cached	1		0	Tuning multiple imputation by predictive mean matching and local residual draws	Springer Science and Business Media LLC	2014	2026-03-02T06:08:45+00:00	https://api.crossref.org/works/10.1186%2F1471-2288-14-75	https://api.datacite.org/dois/10.1186%2F1471-2288-14-75	
34	10.1016/j.csda.2010.04.005	https://doi.org/10.1016/j.csda.2010.04.005	Crossref	cached	1		0	Avoiding bias due to perfect prediction in multiple imputation of incomplete categorical variables	Elsevier BV	2010	2026-03-02T06:08:45+00:00	https://api.crossref.org/works/10.1016%2Fj.csda.2010.04.005	https://api.datacite.org/dois/10.1016%2Fj.csda.2010.04.005	
