phenotype	dataset_id	split_or_cohort	model_name	auc	brier	calibration_slope	calibration_intercept	n	n_events	n_cohort	n_events_cohort	event_rate	n_bootstrap	seed	auc_ci_low	auc_ci_high	brier_ci_low	brier_ci_high	calibration_slope_ci_low	calibration_slope_ci_high	calibration_intercept_ci_low	calibration_intercept_ci_high
infection_only	MIMIC_IV_ED	internal_oof_cv	elasticnet_logistic_cv	0.8103118315884273	0.1725706060406144	0.9773682147599306	4.453862960043971e-05	545	216	545.0	216.0	0.3963302752293578	200	7	0.770535159835906	0.839741518018143	0.1585664270936971	0.191638989930322	0.7971812232826485	1.1609910356954576	-0.2224906310890308	0.2331991692102993
infection_only	NHAMCS_ED_2019	external_validation	elasticnet_logistic_cv	0.6625	0.1855940198867839	0.460741503941192	-1.295173773611602	48	8				200	7	0.4443960511033681	0.8314089209401709	0.1319176421607374	0.2457603455124375	-0.1937983042587571	1.2500133583511503	-2.876112300945986	-0.3853541213945664
intermediate	MIMIC_IV_ED	internal_oof_cv	elasticnet_logistic_cv	0.815140569350072	0.1737956022603949	1.013493982064401	0.001745061825069	2823	1298	2823.0	1298.0	0.4597945448104853	200	7	0.80079249063051	0.8292150970916973	0.1677616997222867	0.1807587192602579	0.939905012414338	1.0787167721879385	-0.0831291907539075	0.0969033000018369
intermediate	NHAMCS_ED_2019	external_validation	elasticnet_logistic_cv	0.7569573283858998	0.1770734091956176	0.6472447123376642	-1.7781517753942098	175	21				200	7	0.6519326255614537	0.8509486313465784	0.1449752778727978	0.2100619283399522	0.3364315113500328	1.150047981722231	-2.311574865070457	-1.3521155762643666
primary	MIMIC_IV_ED	internal_oof_cv	elasticnet_logistic_cv	0.7520672051730367	0.19460476182548	1.0000718219901432	0.0001258130580584	19913	7875	19913.0	7875.0	0.395470295786672	200	7	0.7466135218488252	0.7590961266638973	0.1917887951082649	0.1968727969440832	0.9714607151623218	1.0376573425411368	-0.0338631935351022	0.0316524183490543
primary	NHAMCS_ED_2019	external_validation	elasticnet_logistic_cv	0.7766048366675108	0.1328269314413096	1.1076614250232877	-1.498725985037558	806	88				200	7	0.7200897004123842	0.8300533252889218	0.1224228694010091	0.1431979476053877	0.8265025123236269	1.4050509535192617	-1.7536945917935267	-1.276907336117139
symptom_excluded	MIMIC_IV_ED	internal_oof_cv	elasticnet_logistic_cv	0.8152097804945818	0.1737659001089377	1.0155262329219343	0.002514693922772	2823	1298	2823.0	1298.0	0.4597945448104853	200	7	0.8009134677188054	0.8293621679430171	0.1678027155912663	0.1807555066314825	0.9417202109406818	1.081548987912901	-0.0820328609733839	0.0973478458243825
symptom_excluded	NHAMCS_ED_2019	external_validation	elasticnet_logistic_cv	0.7578849721706864	0.1773363562881078	0.6398997788863809	-1.7800824517659906	175	21				200	7	0.6538662599380299	0.850983123620309	0.1449188514708854	0.2100973628939542	0.3421242987964468	1.1455141821713395	-2.312046913025146	-1.3498681498613865
