run_id	dataset_id	n	n_events	auc	auc_ci	brier	brier_ci	calibration_slope	calibration_intercept
2016	NHAMCS_ED_2016	810	80	0.7409075342465754	0.684–0.797	0.1364836816964978	0.124–0.147	0.9417356378119416	-1.6338103429040736
2017	NHAMCS_ED_2017	709	71	0.7809837078899731	0.722–0.824	0.1336656245964596	0.123–0.146	1.1378172333049077	-1.5999534594391889
2018	NHAMCS_ED_2018	807	94	0.7468443197755961	0.693–0.793	0.1428501536521742	0.133–0.155	1.025924669404778	-1.460844275794721
2019	NHAMCS_ED_2019	806	88	0.7765257027095468	0.720–0.830	0.1328271730876369	0.122–0.143	1.1072358690506476	-1.498794033095449
2020	NHAMCS_ED_2020	583	72	0.7540497934333552	0.695–0.813	0.1483449488626905	0.136–0.163	1.0450244048599937	-1.460807671535673
2021	NHAMCS_ED_2021	699	88	0.7882197589644399	0.736–0.835	0.142045908471699	0.131–0.154	1.2049184337589836	-1.3941329088119827
2022	NHAMCS_ED_2022	657	77	0.7540080609046126	0.698–0.811	0.1388848793674553	0.128–0.151	1.1427504780926805	-1.3740752268058791
pooled_2016_2022	NHAMCS_ED_2016_2022	5071	570	0.7637335952634307	0.743–0.787	0.1389575094166371	0.135–0.143	1.0846365324824716	-1.487293839011714
