phenotype	run_id	dataset_id	split_or_cohort	model_name	auc	brier	calibration_slope	calibration_intercept	n	n_events	n_bootstrap	seed	auc_ci_low	auc_ci_high	brier_ci_low	brier_ci_high	calibration_slope_ci_low	calibration_slope_ci_high	calibration_intercept_ci_low	calibration_intercept_ci_high	event_rate
primary	2016	NHAMCS_ED_2016	external_validation	elasticnet_logistic_cv	0.7526767299324792	0.138679384710323	0.9774614166880444	-1.6935855113784284	810	80	200	7	0.6859016299763543	0.8099023239038958	0.1254391336944785	0.1522779524724084	0.6734990562987206	1.379894062453665	-2.0137036345897177	-1.3465273526253017	0.09876543209876543
primary	2017	NHAMCS_ED_2017	external_validation	elasticnet_logistic_cv	0.7387973330059261	0.1426311288838059	0.9695083705740064	-1.493790561776628	709	71	200	7	0.6530827591261582	0.8149051888727612	0.1266468970259606	0.1589546745563523	0.6372027318195079	1.374588951753988	-1.888591443510454	-1.1046756413615857	0.1001410437235543
primary	2018	NHAMCS_ED_2018	external_validation	elasticnet_logistic_cv	0.7323506646121531	0.1433670119547136	1.009021086856514	-1.4580412914290026	807	94	200	7	0.6586131326908563	0.8102786445589931	0.1303841424222589	0.1569451846663566	0.6908947954458035	1.3905805879844222	-1.8014339428598811	-1.2143701537118	0.11648079306071871
primary	2019	NHAMCS_ED_2019	external_validation	elasticnet_logistic_cv	0.765860157913308	0.134885709560622	1.1402403213084011	-1.4196445597760616	806	88	200	7	0.6965951733362433	0.8264962802982342	0.1235355985757327	0.1484260398369609	0.8264513515493032	1.4730293925113809	-1.7542904355703668	-1.1449003777949274	0.10918114143920596
primary	2020	NHAMCS_ED_2020	external_validation	elasticnet_logistic_cv	0.7605482618542265	0.1500968930492267	1.109154763249315	-1.4270204400665438	583	72	200	7	0.6684595129661121	0.8283901962096616	0.1363173661068354	0.1701736350449602	0.715328444081552	1.4922143862621928	-1.785566395947646	-1.127773796544087	0.1234991423670669
primary	2021	NHAMCS_ED_2021	external_validation	elasticnet_logistic_cv	0.7917425910043829	0.1442993818041669	1.1998356798159278	-1.428618902406886	699	88	200	7	0.7433713753606369	0.846089508253127	0.1303304154700874	0.158267046271564	0.9616667782849032	1.5895349519062845	-1.762442602554216	-1.166515744545366	0.12589413447782546
primary	2022	NHAMCS_ED_2022	external_validation	elasticnet_logistic_cv	0.7610318154620996	0.1389184353900617	1.2727344464786732	-1.5971072859548767	657	77	200	7	0.6832181222091369	0.8211198493314263	0.1253223979317601	0.1546875153580371	0.8801815108009825	1.689469035519355	-1.9944425986713692	-1.235569704709481	0.1171993911719939
primary	pooled_2016_2022	NHAMCS_ED_2016_2022	external_validation	elasticnet_logistic_cv	0.7594198246940265	0.1416531980596493	1.0948769238211364	-1.4981382166534207	5071	570	200	7	0.7352920547193338	0.7883330956565264	0.136406052487006	0.1460893304479008	0.9656535391318808	1.232963353167721	-1.6327890346404756	-1.3814518949348855	0.11240386511536186
