phenotype	run_id	dataset_id	split_or_cohort	model_name	auc	brier	calibration_slope	calibration_intercept	n	n_events	n_bootstrap	seed	auc_ci_low	auc_ci_high	brier_ci_low	brier_ci_high	calibration_slope_ci_low	calibration_slope_ci_high	calibration_intercept_ci_low	calibration_intercept_ci_high	event_rate
primary	2016	NHAMCS_ED_2016	external_validation	elasticnet_logistic_cv	0.7409075342465754	0.1364836816964978	0.9417356378119416	-1.6338103429040736	810	80	200	7	0.6837323127128505	0.7966636704812646	0.1244702809335898	0.1473308676176365	0.6843965160564804	1.2796037493477792	-1.8782636370783576	-1.3431355927967688	0.09876543209876543
primary	2017	NHAMCS_ED_2017	external_validation	elasticnet_logistic_cv	0.7809837078899731	0.1336656245964596	1.1378172333049077	-1.5999534594391889	709	71	200	7	0.7215284433578264	0.8241151902904573	0.1229542929716286	0.1457992085490303	0.8545644536231092	1.435024729353961	-1.838975009765357	-1.3436754628522602	0.1001410437235543
primary	2018	NHAMCS_ED_2018	external_validation	elasticnet_logistic_cv	0.7468443197755961	0.1428501536521742	1.025924669404778	-1.460844275794721	807	94	200	7	0.6933455590852831	0.7929240208969449	0.1330794542107392	0.1545196948066195	0.7980846826254402	1.2445670142168874	-1.746096948517	-1.2306003863306785	0.11648079306071871
primary	2019	NHAMCS_ED_2019	external_validation	elasticnet_logistic_cv	0.7765257027095468	0.1328271730876369	1.1072358690506476	-1.498794033095449	806	88	200	7	0.7200545111624972	0.8300202354646433	0.1224227574042679	0.1432026721342949	0.8262912538857198	1.404704097355256	-1.753593033853659	-1.2769120043197908	0.10918114143920596
primary	2020	NHAMCS_ED_2020	external_validation	elasticnet_logistic_cv	0.7540497934333552	0.1483449488626905	1.0450244048599937	-1.460807671535673	583	72	200	7	0.6950096414153047	0.8129003241509518	0.1363123673437007	0.1626329520215373	0.776653373801533	1.3469959843435615	-1.709452181076908	-1.2437110343570774	0.1234991423670669
primary	2021	NHAMCS_ED_2021	external_validation	elasticnet_logistic_cv	0.7882197589644399	0.142045908471699	1.2049184337589836	-1.3941329088119827	699	88	200	7	0.736175102828082	0.8350337527973313	0.1309033586039847	0.1540572130264334	0.9402276863982512	1.500408086996157	-1.6564321052296196	-1.1596186605248555	0.12589413447782546
primary	2022	NHAMCS_ED_2022	external_validation	elasticnet_logistic_cv	0.7540080609046126	0.1388848793674553	1.1427504780926805	-1.3740752268058791	657	77	200	7	0.698251967595432	0.8107285188023865	0.1282350960551079	0.1505297125878676	0.8167945742053593	1.4686960117326444	-1.6652540714781532	-1.1267457563163628	0.1171993911719939
primary	pooled_2016_2022	NHAMCS_ED_2016_2022	external_validation	elasticnet_logistic_cv	0.7637335952634307	0.1389575094166371	1.0846365324824716	-1.487293839011714	5071	570	200	7	0.7432082032736853	0.7865900074590438	0.134749976979074	0.1430495395630927	0.9919831720859694	1.1888476635439216	-1.5869147027962889	-1.3920932728217583	0.11240386511536186
